Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,486,657,763","$716,657,763",48.2%,"$770,000,000",51.8%
2,Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.6%,"$625,127,000",62.4%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$937,857,315","$369,480,315",39.4%,"$568,377,000",60.6%
5,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
6,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
7,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
8,Black Panther: Wakanda Forever,"$561,659,902","$303,670,596",54.1%,"$257,989,306",45.9%
9,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
10,Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.4%,"$211,783,942",52.6%
11,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
12,Black Adam,"$368,177,609","$158,377,609",43%,"$209,800,000",57%
13,Elvis,"$286,040,048","$151,040,048",52.8%,"$135,000,000",47.2%
14,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
15,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
16,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
17,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
18,Smile,"$214,182,737","$104,882,737",49%,"$109,300,000",51%
19,Nice View,"$211,019,042",-,-,"$211,019,042",100%
20,DC League of Super-Pets,"$203,841,046","$93,641,046",45.9%,"$110,200,000",54.1%
21,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
22,Nope,"$170,823,080","$123,277,080",72.2%,"$47,546,000",27.8%
23,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
24,One Piece Film: Red,"$162,965,369","$12,775,324",7.8%,"$150,190,045",92.2%
25,The Black Phone,"$159,568,230","$89,887,230",56.3%,"$69,681,000",43.7%
26,Ticket to Paradise,"$158,433,658","$62,439,830",39.4%,"$95,993,828",60.6%
27,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
28,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
29,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
30,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
31,Everything Everywhere All at Once,"$103,087,661","$70,008,593",67.9%,"$33,079,068",32.1%
32,RRR,"$101,462,994","$11,113,000",11%,"$90,349,994",89%
33,The Roundup,"$101,146,507","$812,859",0.8%,"$100,333,648",99.2%
34,Downton Abbey: A New Era,"$92,219,712","$43,896,550",47.6%,"$48,323,162",52.4%
35,The Woman King,"$91,888,504","$66,788,504",72.7%,"$25,100,000",27.3%
36,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
37,Don't Worry Darling,"$86,704,555","$45,304,555",52.3%,"$41,400,000",47.7%
38,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
39,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
40,Jackass Forever,"$80,340,540","$57,743,451",71.9%,"$22,597,089",28.1%
41,"Lyle, Lyle, Crocodile","$78,971,937","$43,871,937",55.6%,"$35,100,000",44.4%
42,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
43,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
44,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
45,Moonfall,"$66,809,819","$19,060,660",28.5%,"$47,749,159",71.5%
46,Spider-Man: No Way Home 2022 Re-release,"$64,746,368","$9,321,593",14.4%,"$55,424,775",85.6%
47,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
48,Hansan: Rising Dragon,"$57,092,305","$865,888",1.5%,"$56,226,417",98.5%
49,Confidential Assignment 2: International,"$55,092,189",-,-,"$55,092,189",100%
50,Ambulance,"$51,827,622","$22,309,115",43%,"$29,518,507",57%
51,Marry Me,"$50,453,850","$22,438,180",44.5%,"$28,015,670",55.5%
52,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
53,Barbarian,"$45,202,492","$40,842,944",90.4%,"$4,359,548",9.6%
54,Paws of Fury: The Legend of Hank,"$39,098,451","$17,811,382",45.6%,"$21,287,069",54.4%
55,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
56,Prey for the Devil,"$36,508,588","$18,489,293",50.6%,"$18,019,295",49.4%
57,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
58,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
59,Hunt,"$33,719,883",-,-,"$33,719,883",100%
60,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
61,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
62,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
63,Amsterdam,"$30,690,971","$14,947,969",48.7%,"$15,743,002",51.3%
64,Joker 2022 Re-release,"$30,497,883",-,-,"$30,497,883",100%
65,Tad the Lost Explorer and the Emerald Tablet,"$30,367,599","$67,599",0.2%,"$30,300,000",99.8%
66,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
67,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
68,The 355,"$27,826,646","$14,570,455",52.4%,"$13,256,191",47.6%
69,Serial (Bad) Weddings 3,"$26,951,351",-,-,"$26,951,351",100%
70,Mrs. Harris Goes to Paris,"$25,849,698","$10,433,915",40.4%,"$15,415,783",59.6%
71,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
72,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
73,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
74,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
75,6/45,"$22,263,336",-,-,"$22,263,336",100%
76,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
77,See How They Run,"$21,880,451","$9,586,237",43.8%,"$12,294,214",56.2%
78,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
79,Silent Parade,"$21,717,636",-,-,"$21,717,636",100%
80,Father Stu,"$21,591,034","$20,884,796",96.7%,"$706,238",3.3%
81,Decision to Leave,"$21,027,960","$1,768,459",8.4%,"$19,259,501",91.6%
82,Emergency Declaration,"$20,798,359","$412,196",2%,"$20,386,163",98%
83,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
84,After Ever Happy,"$19,155,612","$1,072,750",5.6%,"$18,082,862",94.4%
85,Three Thousand Years of Longing,"$19,048,109","$8,286,741",43.5%,"$10,761,368",56.5%
86,Beast,"$18,911,959",-,-,"$18,911,959",100%
87,Godfather,"$18,737,287",-,-,"$18,737,287",100%
88,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
89,The Menu,"$17,506,514","$11,326,443",64.7%,"$6,180,071",35.3%
90,Die Schule der magischen Tiere 2,"$17,144,704",-,-,"$17,144,704",100%
91,The Banshees of Inisherin,"$16,846,586","$7,406,646",44%,"$9,439,940",56%
92,Fall,"$16,804,751","$7,240,521",43.1%,"$9,564,230",56.9%
93,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
94,The Quintessential Quintuplets Movie,"$16,700,833",-,-,"$16,700,833",100%
95,November,"$16,498,153",-,-,"$16,498,153",100%
96,Father There Is Only One 3,"$16,146,938",-,-,"$16,146,938",100%
97,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
98,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
99,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
100,Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
101,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
102,Broker,"$15,153,427",-,-,"$15,153,427",100%
103,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
104,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
105,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
106,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
107,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
108,Bros,"$14,633,957","$11,628,165",79.5%,"$3,005,792",20.5%
109,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
110,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
111,Bodies Bodies Bodies,"$13,903,522","$11,446,602",82.3%,"$2,456,920",17.7%
112,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
113,Triangle of Sadness,"$13,795,530","$3,816,422",27.7%,"$9,979,108",72.3%
114,Valimai,"$13,276,393",-,-,"$13,276,393",100%
115,Simone: Woman of the Century,"$13,080,967",-,-,"$13,080,967",100%
116,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
117,Land of Legends,"$12,745,560",-,-,"$12,745,560",100%
118,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
119,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
120,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
121,Moonage Daydream,"$11,908,054","$4,218,925",35.4%,"$7,689,129",64.6%
122,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
123,Bergen,"$11,325,405",-,-,"$11,325,405",100%
124,Laal Singh Chaddha,"$11,253,122","$3,401,324",30.2%,"$7,851,798",69.8%
125,Terrifier 2,"$11,226,453","$10,596,080",94.4%,"$630,373",5.6%
126,The Chosen Season 3: Episode 1 & 2,"$11,193,357","$11,193,357",100%,-,-
127,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
128,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
129,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
130,Warriors of Future,"$10,244,600",-,-,"$10,244,600",100%
131,Rise,"$10,179,767",-,-,"$10,179,767",100%
132,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
